LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,10,738,,,1474.4796443589998,,,W,160,hexagon,0.000655357000141521,,,,,1,0,,,,,,,,,,,,1470.8422949419996,1470.8422949419996,1470.8422949419996,1470.8422949419996,1472.3437498099997,1472.3437498099997,1472.3437498099997,1472.3437498099997,1472.3437498099997,1472.3437498099997,1472.3437498099997,1472.3437498099997,repeat,letter,lettRpt,f,0.5863005500000327,noRew,,,1,,,,,,,,,1472.9779638690002,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,20,0,20,0,,,,,,,,,,,,,,,,1,739,,,1479.401565791,,,H,132,triangle,0.0011085289997936343,,,,,1,0,,,,,,,,,,,,1475.4640793889998,1475.4640793889998,1475.4640793889998,1475.4640793889998,1476.9656260119996,1476.9656260119996,1476.9656260119996,1476.9656260119996,1476.9656260119996,1476.9656260119996,1476.9656260119996,1476.9656260119996,repeat,letter,lettRpt,d,0.8856517340004757,noRew,,,1,,,,,,,,,1477.9002176110002,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,21,0,21,0,,,,,,,,,,,,,,,,0,739,,,1484.056798016,,,B,125,hexagon,0.001300763000472216,,,,,0,0,,,,,,,,,,,,1480.3861609110004,1480.3861609110004,1480.3861609110004,1480.3861609110004,1481.8877117569996,1481.8877117569996,1481.8877117569996,1481.8877117569996,1481.8877117569996,1481.8877117569996,1481.8877117569996,1481.8877117569996,switch,number,NA,k,0.6186709799999335,noRew,,,1,,,,,,,,,1482.5550800300002,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,22,0,22,0,,,,,,,,,,,,,,,,1,740,,,1488.9620621440004,,,D,167,triangle,0.0013038209999649553,,,,,1,1,,,,,,,,,,,,1485.0411326569997,1485.0411326569997,1485.0411326569997,1485.0411326569997,1486.5427645610002,1486.5427645610002,1486.5427645610002,1486.5427645610002,1486.5427645610002,1486.5427645610002,1486.5427645610002,1486.5427645610002,switch,letter,lettSwt,d,0.8685134800002743,noRew,,,1,,,,,,,,,1487.4604051809997,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,23,0,23,0,,,,,,,,,,,,,,,,0,740,,,1493.90086613,,,S,146,hexagon,0.001375709000058123,,,,,1,0,,,,,,,,,,,,1489.946536117,1489.946536117,1489.946536117,1489.946536117,1491.4481102120003,1491.4481102120003,1491.4481102120003,1491.4481102120003,1491.4481102120003,1491.4481102120003,1491.4481102120003,1491.4481102120003,repeat,letter,lettRpt,f,0.9232719930000712,noRew,,,1,,,,,,,,,1492.4162799849996,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,24,0,24,0,,,,,,,,,,,,,,,,1,741,,,1498.8563870189996,,,F,167,triangle,0.0014125229999990552,,,,,1,0,,,,,,,,,,,,1494.8853213420002,1494.8853213420002,1494.8853213420002,1494.8853213420002,1496.387220872,1496.387220872,1496.387220872,1496.387220872,1496.387220872,1496.387220872,1496.387220872,1496.387220872,repeat,letter,lettRpt,d,0.9186720769998828,noRew,,,1,,,,,,,,,1497.3547319940003,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,25,0,25,0,,,,,,,,,,,,,,,,0,741,,,1503.67839941,,,B,181,hexagon,0.001332378999904904,,,,,1,0,,,,,,,,,,,,1499.8411435570001,1499.8411435570001,1499.8411435570001,1499.8411435570001,1501.342371841,1501.342371841,1501.342371841,1501.342371841,1501.342371841,1501.342371841,1501.342371841,1501.342371841,repeat,letter,lettRpt,d,0.7959247240000877,noRew,,,1,,,,,,,,,1502.176949874,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,26,0,26,0,,,,,,,,,,,,,,,,10,751,,,1508.3669012209998,,,U,125,triangle,0.0010035949999291915,,,,,1,0,,,,,,,,,,,,1504.6460637220002,1504.6460637220002,1504.6460637220002,1504.6460637220002,1506.1480401000003,1506.1480401000003,1506.1480401000003,1506.1480401000003,1506.1480401000003,1506.1480401000003,1506.1480401000003,1506.1480401000003,repeat,letter,lettRpt,f,0.6695445540003675,noRew,,,1,,,,,,,,,1506.8652148309998,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,27,0,27,0,,,,,,,,,,,,,,,,0,751,,,1513.1888896610003,,,H,132,hexagon,0.0013780270001007011,,,,,1,0,,,,,,,,,,,,1509.3514274220001,1509.3514274220001,1509.3514274220001,1509.3514274220001,1510.8531206350003,1510.8531206350003,1510.8531206350003,1510.8531206350003,1510.8531206350003,1510.8531206350003,1510.8531206350003,1510.8531206350003,switch,number,numSwt,j,0.8063199550001627,noRew,,,1,,,,,,,,,1511.7038678960002,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,28,0,28,0,,,,,,,,,,,,,,,,1,752,,,1517.7772059450003,,,D,146,triangle,0.001421721000042453,,,,,1,0,,,,,,,,,,,,1514.1732847110002,1514.1732847110002,1514.1732847110002,1514.1732847110002,1515.6749305500002,1515.6749305500002,1515.6749305500002,1515.6749305500002,1515.6749305500002,1515.6749305500002,1515.6749305500002,1515.6749305500002,repeat,number,numRpt,j,0.5516741590004131,noRew,,,1,,,,,,,,,1516.275579191,1517.7772059450003,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
