LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpect,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,11,0,11,0,,,,,,,,,,,,,,,,0,1163,,,2059.7364893859994,,,167,H,hexagon,0.0007663460019102786,,,,,1,0,,,,,,,,,,,,,,,2056.272805973,2056.272805973,2056.272805973,2056.272805973,2057.7501983090006,2057.7501983090006,2057.7501983090006,2057.7501983090006,2057.783375023002,2057.783375023002,2057.783375023002,2057.783375023002,repeat,number,numRpt,f,0.4657785590025014,noRew,,,,,,,4,,,,,high,2058.239220801999,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,12,0,12,0,,,,,,,,,,,,,,,,0,1163,,,2064.5232011430016,,,132,F,hexagon,0.0023974960022314917,,,,,1,0,,,,,,,,,,,,,,,2060.732068816,2060.732068816,2060.732068816,2060.732068816,2062.220400487,2062.220400487,2062.220400487,2062.220400487,2062.2372391479985,2062.2372391479985,2062.2372391479985,2062.2372391479985,switch,letter,lettSwt,j,0.7791355029985425,noRew,,,,,,,4,,,,,high,2063.023677928999,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,13,0,13,0,,,,,,,,,,,,,,,,1,1164,,,2069.1265194180014,,2069.6268686559997,146,U,circle,0.0022331619984470308,,,,,1,0,,,,,,,,,,,,,,,2065.517751907999,2065.517751907999,2065.517751907999,2065.517751907999,2067.0074350389987,2067.0074350389987,2067.0074350389987,2067.0074350389987,2067.0235359729995,2067.0235359729995,2067.0235359729995,2067.0235359729995,repeat,letter,lettRpt,k,0.5838881969975773,noRew,,,,,,,4,,,,,high,2067.625986809002,2069.1265194180014,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,14,0,14,0,,,,,,,,,,,,,,,,10,1174,,,2073.7468859670007,,,125,Y,circle,0.015212394002446672,,,,,1,0,,,,,,,,,,,,,,,2070.1387585209995,2070.1387585209995,2070.1387585209995,2070.1387585209995,2071.610865805,2071.610865805,2071.610865805,2071.610865805,2071.6440671080018,2071.6440671080018,2071.6440671080018,2071.6440671080018,repeat,letter,lettRpt,k,0.605299548999028,noRew,,,,,,,4,,,,,high,2072.2484701329995,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,15,0,15,0,,,,,,,,,,,,,,,,0,1174,,,2078.314428654001,,,174,D,hexagon,0.0018427260001772083,,,,,1,0,,,,,,,,,,,,,,,2074.7418967390004,2074.7418967390004,2074.7418967390004,2074.7418967390004,2076.2311884650007,2076.2311884650007,2076.2311884650007,2076.2311884650007,2076.247105769002,2076.247105769002,2076.247105769002,2076.247105769002,repeat,letter,lettRpt,j,0.5602188559969363,noRew,,,,,,,4,,,,,high,2076.819353127001,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,16,0,16,0,,,,,,,,,,,,,,,,0,1174,,,2082.8685729009994,,,160,W,hexagon,0.002570136999565875,,,,,1,0,,,,,,,,,,,,,,,2079.311979891001,2079.311979891001,2079.311979891001,2079.311979891001,2080.8008174079987,2080.8008174079987,2080.8008174079987,2080.8008174079987,2080.81803839,2080.81803839,2080.81803839,2080.81803839,repeat,letter,lettRpt,k,0.5266509720022441,noRew,,,,,,,4,,,,,high,2081.3545527239985,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,17,0,17,0,,,,,,,,,,,,,,,,1,1175,,,2087.4215573740003,,,167,B,circle,0.016465078999317484,,,,,1,0,,,,,,,,,,,,,,,2083.8643126079987,2083.8643126079987,2083.8643126079987,2083.8643126079987,2085.338191805,2085.338191805,2085.338191805,2085.338191805,2085.3707910390003,2085.3707910390003,2085.3707910390003,2085.3707910390003,repeat,letter,lettRpt,j,0.5414637879985094,noRew,,,,,,,4,,,,,high,2085.909294305002,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,18,0,18,0,,,,,,,,,,,,,,,,1,1176,,,2092.641722065,,,139,Y,circle,0.01677969199954532,,,,,1,0,,,,,,,,,,,,,,,2088.4180954799995,2088.4180954799995,2088.4180954799995,2088.4180954799995,2089.8913103720006,2089.8913103720006,2089.8913103720006,2089.8913103720006,2089.924343382001,2089.924343382001,2089.924343382001,2089.924343382001,repeat,letter,lettRpt,k,1.2285416640006588,noRew,,,,,,,4,,,,,high,2091.144673586001,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,19,0,19,0,,,,,,,,,,,,,,,,0,1176,,,2097.3620321810013,,,132,D,hexagon,0.0008603050009696744,,,,,1,0,,,,,,,,,,,,,,,2093.649088992999,2093.649088992999,2093.649088992999,2093.649088992999,2095.128519695001,2095.128519695001,2095.128519695001,2095.128519695001,2095.162043679,2095.162043679,2095.162043679,2095.162043679,switch,number,numSwt,d,0.6866760270022496,noRew,,,,,,,4,,,,,high,2095.8515981439996,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,20,0,20,0,,,,,,,,,,,,,,,,0,1176,,,2102.0321018569994,,,174,F,hexagon,0.016758641999331303,,,,,1,0,,,,,,,,,,,,,,,2098.3587491729995,2098.3587491729995,2098.3587491729995,2098.3587491729995,2099.831586651002,2099.831586651002,2099.831586651002,2099.831586651002,2099.8652249670013,2099.8652249670013,2099.8652249670013,2099.8652249670013,repeat,number,numRpt,f,0.6560889649990713,noRew,,,,,,,4,,,,,high,2100.5189190320016,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,21,0,21,0,,,,,,,,,,,,,,,,1,1177,,,2106.4693630580005,,,125,H,circle,0.016918909997912124,,,,,1,0,,,,,,,,,,,,,,,2103.028706063,2103.028706063,2103.028706063,2103.028706063,2104.5020964549985,2104.5020964549985,2104.5020964549985,2104.5020964549985,2104.535057107001,2104.535057107001,2104.535057107001,2104.535057107001,repeat,number,numRpt,d,0.41771857300045667,noRew,,,,,,,4,,,,,high,2104.9542510380015,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,22,0,22,0,,,,,,,,,,,,,,,,10,1187,,,2111.189213780999,,,146,U,circle,0.013682446999155218,,,,,1,0,,,,,,,,,,,,,,,2107.4655131180007,2107.4655131180007,2107.4655131180007,2107.4655131180007,2108.938483725,2108.938483725,2108.938483725,2108.938483725,2108.9724001190007,2108.9724001190007,2108.9724001190007,2108.9724001190007,repeat,number,numRpt,d,0.7174001719977241,noRew,,,,,,,4,,,,,high,2109.6775233379994,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,23,0,23,0,,,,,,,,,,,,,,,,0,1187,,,2115.693391023,,,181,S,hexagon,0.016621968999970704,,,,,1,0,,,,,,,,,,,,,,,2112.1852504730014,2112.1852504730014,2112.1852504730014,2112.1852504730014,2113.6565417810016,2113.6565417810016,2113.6565417810016,2113.6565417810016,2113.6833954840004,2113.6833954840004,2113.6833954840004,2113.6833954840004,repeat,number,numRpt,f,0.4867218139988836,noRew,,,,,,,4,,,,,high,2114.1788946900015,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,24,0,24,0,,,,,,,,,,,,,,,,0,1187,,,2120.313401126001,,,160,Y,hexagon,0.013512560002709506,,,,,1,0,,,,,,,,,,,,,,,2116.6883492330016,2116.6883492330016,2116.6883492330016,2116.6883492330016,2118.1774712709994,2118.1774712709994,2118.1774712709994,2118.1774712709994,2118.193527702999,2118.193527702999,2118.193527702999,2118.193527702999,repeat,number,numRpt,f,0.5977977859984094,noRew,,,,,,,4,,,,,high,2118.7994279250015,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,25,0,25,0,,,,,,,,,,,,,,,,10,1197,,,2124.833572219999,,,174,D,circle,0.01612691700211144,,,,,1,0,,,,,,,,,,,,,,,2121.308235421002,2121.308235421002,2121.308235421002,2121.308235421002,2122.7808334420006,2122.7808334420006,2122.7808334420006,2122.7808334420006,2122.8138388670013,2122.8138388670013,2122.8138388670013,2122.8138388670013,repeat,number,numRpt,f,0.5307944189989939,noRew,,,,,,,4,,,,,high,2123.3360644060012,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,26,0,26,0,,,,,,,,,,,,,,,,10,1207,,,2129.420438101999,,,167,B,circle,0.0025053369972738437,,,,,1,0,,,,,,,,,,,,,,,2125.829115056,2125.829115056,2125.829115056,2125.829115056,2127.3177349869984,2127.3177349869984,2127.3177349869984,2127.3177349869984,2127.3346024540006,2127.3346024540006,2127.3346024540006,2127.3346024540006,repeat,number,numRpt,f,0.5778174319966638,noRew,,,,,,,4,,,,,high,2127.9206984500015,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,27,0,27,0,,,,,,,,,,,,,,,,0,1207,,,2133.9568354900002,,,146,F,hexagon,0.0018051139995804988,,,,,1,0,,,,,,,,,,,,,,,2130.4155075609997,2130.4155075609997,2130.4155075609997,2130.4155075609997,2131.9044098390004,2131.9044098390004,2131.9044098390004,2131.9044098390004,2131.9213584669997,2131.9213584669997,2131.9213584669997,2131.9213584669997,repeat,number,numRpt,d,0.5273826660013583,noRew,,,,,,,4,,,,,high,2132.460060722002,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,28,0,28,0,,,,,,,,,,,,,,,,10,1217,,,2138.674753970001,,,181,S,hexagon,0.0024985509990074206,,,,,1,0,,,,,,,,,,,,,,,2134.9522377169997,2134.9522377169997,2134.9522377169997,2134.9522377169997,2136.441389489999,2136.441389489999,2136.441389489999,2136.441389489999,2136.457598642999,2136.457598642999,2136.457598642999,2136.457598642999,switch,letter,lettSwt,k,0.7105427939968649,noRew,,,,,,,4,,,,,high,2137.1793666720005,,,,,,,,,,,,,,,,27754,2022-09-20_13h57.45.396,vts_reward_expectancy_OFFLINE,2022.2.4,60.217879367892955,
