LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,20,0,20,0,,,,,,,,,,,,,,,,1,931,,,2234.243608154,,,160,W,triangle,0.00122365200513741,,,,,1,0,,,,,,,,,,,,2230.6562719600042,2230.6562719600042,2230.6562719600042,2230.6562719600042,2232.1580715590026,2232.1580715590026,2232.1580715590026,2232.1580715590026,2232.1580715590026,2232.1580715590026,2232.1580715590026,2232.1580715590026,,,,,repeat,letter,lettRpt,k,noRew,,0.5634088369988604,,3,,,,,2232.758696044999,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,21,0,21,0,,,,,,,,,,,,,,,,0,931,,,2239.4658834260044,,,125,F,hexagon,0.001465604997065384,,,,,1,0,,,,,,,,,,,,2235.2279268659986,2235.2279268659986,2235.2279268659986,2235.2279268659986,2236.729507873002,2236.729507873002,2236.729507873002,2236.729507873002,2236.729507873002,2236.729507873002,2236.729507873002,2236.729507873002,,,,,repeat,letter,lettRpt,j,noRew,,1.2093050659968867,,3,,,,,2237.9805786979996,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,22,0,22,0,,,,,,,,,,,,,,,,0,931,,,2244.1546284330034,,,146,S,hexagon,0.001324097000178881,,,,,1,0,,,,,,,,,,,,2240.4503652429994,2240.4503652429994,2240.4503652429994,2240.4503652429994,2241.9519788550024,2241.9519788550024,2241.9519788550024,2241.9519788550024,2241.9519788550024,2241.9519788550024,2241.9519788550024,2241.9519788550024,,,,,repeat,letter,lettRpt,k,noRew,,0.6677148919989122,,3,,,,,2242.652933700003,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,23,0,23,0,,,,,,,,,,,,,,,,1,932,,,2248.676476050001,,,132,H,triangle,0.0006068559960112907,,,,,1,0,,,,,,,,,,,,2245.122375744999,2245.122375744999,2245.122375744999,2245.122375744999,2246.6238336000024,2246.6238336000024,2246.6238336000024,2246.6238336000024,2246.6238336000024,2246.6238336000024,2246.6238336000024,2246.6238336000024,,,,,repeat,letter,lettRpt,j,noRew,,0.5220481159994961,,3,,,,,2247.1913373450006,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,24,0,24,0,,,,,,,,,,,,,,,,10,942,,,2253.2478948610005,,,146,F,triangle,0.0013200100001995452,,,,,1,0,,,,,,,,,,,,2249.6606027029993,2249.6606027029993,2249.6606027029993,2249.6606027029993,2251.162363565003,2251.162363565003,2251.162363565003,2251.162363565003,2251.162363565003,2251.162363565003,2251.162363565003,2251.162363565003,,,,,repeat,letter,lettRpt,j,noRew,,0.5349402369974996,,3,,,,,2251.7462637179997,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,25,0,25,0,,,,,,,,,,,,,,,,0,942,,,2257.8864353399986,,,132,U,hexagon,0.0012852649961132556,,,,,1,0,,,,,,,,,,,,2254.2322766750003,2254.2322766750003,2254.2322766750003,2254.2322766750003,2255.7340446259986,2255.7340446259986,2255.7340446259986,2255.7340446259986,2255.7340446259986,2255.7340446259986,2255.7340446259986,2255.7340446259986,,,,,repeat,letter,lettRpt,k,noRew,,0.6281257399969036,,3,,,,,2256.401387881,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,26,0,26,0,,,,,,,,,,,,,,,,1,943,,,2262.491400110004,,,160,H,triangle,0.0014434190015890636,,,,,1,0,,,,,,,,,,,,2258.870830730004,2258.870830730004,2258.870830730004,2258.870830730004,2260.3723628330044,2260.3723628330044,2260.3723628330044,2260.3723628330044,2260.3723628330044,2260.3723628330044,2260.3723628330044,2260.3723628330044,,,,,repeat,letter,lettRpt,j,noRew,,0.5978761519945692,,3,,,,,2261.006488179999,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,27,0,27,0,,,,,,,,,,,,,,,,1,944,,,2267.0964848930016,,,174,D,hexagon,0.0012263279932085425,,,,,1,0,,,,,,,,,,,,2263.475912533002,2263.475912533002,2263.475912533002,2263.475912533002,2264.9775461829995,2264.9775461829995,2264.9775461829995,2264.9775461829995,2264.9775461829995,2264.9775461829995,2264.9775461829995,2264.9775461829995,,,,,repeat,letter,lettRpt,j,noRew,,0.5915106610045768,,3,,,,,2265.6118632100042,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,28,0,28,0,,,,,,,,,,,,,,,,10,954,,,2271.7018227480003,,,181,W,hexagon,0.0013726000033784658,,,,,1,0,,,,,,,,,,,,2268.081009651003,2268.081009651003,2268.081009651003,2268.081009651003,2269.5825577830037,2269.5825577830037,2269.5825577830037,2269.5825577830037,2269.5825577830037,2269.5825577830037,2269.5825577830037,2269.5825577830037,,,,,repeat,letter,lettRpt,k,noRew,,0.5954112030012766,,3,,,,,2270.216561016001,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,29,0,29,0,,,,,,,,,,,,,,,,1,955,,,2276.406855123001,,,167,S,triangle,0.0013016960001550615,,,,,1,0,,,,,,,,,,,,2272.686015214,2272.686015214,2272.686015214,2272.686015214,2274.18754472,2274.18754472,2274.18754472,2274.18754472,2274.18754472,2274.18754472,2274.18754472,2274.18754472,,,,,repeat,letter,lettRpt,k,noRew,,0.6697340940008871,,3,,,,,2274.9051930760033,,,,,,,,,,,,,,,,47150,2022-09-20_10h22.17.720,vts_reward_expectancy_OFFLINE,2022.2.4,59.923776118264016,
