LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,top_target_prac2.stopped,tgt_fix_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,1,728,,,1391.7037954690002,,Y,167,triangle,0.0015683330002502771,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1388.045535121,1388.045535121,1388.045535121,1388.045535121,1389.551674519,1389.551674519,1389.551674519,1389.551674519,1389.551674519,1389.551674519,1389.551674519,1389.551674519,,,,,repeat,letter,lettRpt,f,noRew,,,0.6307504919996063,0,,,,,1390.202618294,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,1,729,,,1396.425642891,,U,146,triangle,0.0011333639999975276,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1392.6826276049999,1392.6826276049999,1392.6826276049999,1392.6826276049999,1394.18972749,1394.18972749,1394.18972749,1394.18972749,1394.18972749,1394.18972749,1394.18972749,1394.18972749,,,,,switch,number,numSwt,j,noRew,,,0.7121192449999398,0,,,,,1394.9242513309998,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,10,739,,,1401.698233109,,W,139,star,0.0017827749998104991,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1397.404550593,1397.404550593,1397.404550593,1397.404550593,1398.9118462919998,1398.9118462919998,1398.9118462919998,1398.9118462919998,1398.9118462919998,1398.9118462919998,1398.9118462919998,1398.9118462919998,,,,,repeat,number,numRpt,j,noRew,,,1.2618489059996136,0,,,,,1400.1979476909999,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,1,740,,,1406.319991564,,H,174,triangle,0.0016371759998037305,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1402.6773126229998,1402.6773126229998,1402.6773126229998,1402.6773126229998,1404.184346589,1404.184346589,1404.184346589,1404.184346589,1404.184346589,1404.184346589,1404.184346589,1404.184346589,,,,,repeat,number,numRpt,k,noRew,,,0.6131620159999329,0,,,,,1404.8197188749998,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,1,741,,,1411.1086915059998,,Y,160,star,0.001770929000031174,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1407.299060518,1407.299060518,1407.299060518,1407.299060518,1408.806191626,1408.806191626,1408.806191626,1408.806191626,1408.806191626,1408.806191626,1408.806191626,1408.806191626,,,,,repeat,number,numRpt,k,noRew,,,0.7685954720000154,0,,,,,1409.6069995770001,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,0,741,,,1416.414583911,,F,125,triangle,0.001419005000116158,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1412.087353775,1412.087353775,1412.087353775,1412.087353775,1413.5946685400002,1413.5946685400002,1413.5946685400002,1413.5946685400002,1413.5946685400002,1413.5946685400002,1413.5946685400002,1413.5946685400002,,,,,repeat,number,numRpt,j,noRew,,,1.2916319490000205,0,,,,,1414.927319175,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,1,742,,,1421.3198624109998,,B,181,star,0.0015558479999526753,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1417.3935126469999,1417.3935126469999,1417.3935126469999,1417.3935126469999,1418.900695983,1418.900695983,1418.900695983,1418.900695983,1418.900695983,1418.900695983,1418.900695983,1418.900695983,,,,,repeat,number,numRpt,k,noRew,,,0.8970262479997473,0,,,,,1419.819692676,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,0,742,,,1426.9426057839999,,S,167,triangle,0.0014349969997056178,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1422.2998940300001,1422.2998940300001,1422.2998940300001,1422.2998940300001,1423.8058212570002,1423.8058212570002,1423.8058212570002,1423.8058212570002,1423.8058212570002,1423.8058212570002,1423.8058212570002,1423.8058212570002,,,,,switch,letter,lettSwt,f,noRew,,,1.608674075000181,0,,,,,1425.4422815350001,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,1,743,,,1431.4643332489998,,D,132,star,0.0012137250000705535,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1427.921678036,1427.921678036,1427.921678036,1427.921678036,1429.4286877450002,1429.4286877450002,1429.4286877450002,1429.4286877450002,1429.4286877450002,1429.4286877450002,1429.4286877450002,1429.4286877450002,,,,,repeat,letter,lettRpt,d,noRew,,,0.5135544639997534,0,,,,,1429.9634592189998,,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,0,743,,,1445.763415581,,S,160,hexagon,0.0018961030000355095,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1442.0552986300002,1442.0552986300002,1442.0552986300002,1442.0552986300002,1443.561129167,1443.561129167,1443.561129167,1443.561129167,1443.561129167,1443.561129167,1443.561129167,1443.561129167,,,,,repeat,letter,NA,d,noRew,,,0.6684871920001569,1,,,space,2.945752301000084,1444.2618811979999,1445.763415581,,,,,,,,,,,,,,,96409,2022-09-19_10h38.04.309,vts_reward_expectancy_OFFLINE,2022.2.4,59.96041916792314,
