LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,1,796,,,1397.9674487079992,,125,W,star,0.001972501999262022,,,,,1,1,,,,,,,,,,,,,1394.1732523890005,1394.1732523890005,1394.1732523890005,1394.1732523890005,1395.6814730739989,1395.6814730739989,1395.6814730739989,1395.6814730739989,1395.6814730739989,1395.6814730739989,1395.6814730739989,1395.6814730739989,switch,letter,lettSwt,k,0.7631341680007608,noRew,,,2,,,space,3.0283245270002226,1396.465912792999,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,0,796,,,1402.4222883490002,,167,U,triangle,0.001554950000354438,,,,,0,0,,,,,,1402.921398737999,,,,,,,1398.9451383550004,1398.9451383550004,1398.9451383550004,1398.9451383550004,1400.453338194,1400.453338194,1400.453338194,1400.453338194,1400.453338194,1400.453338194,1400.453338194,1400.453338194,repeat,letter,NA,j,0.4398684210009378,noRew,,,2,,,,,1400.920688008,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,1,797,,,1407.127448113999,,139,D,star,0.00042830799975490663,,,,,1,1,,,,,,,,,,,,,1403.3980048819994,1403.3980048819994,1403.3980048819994,1403.3980048819994,1404.908555394999,1404.908555394999,1404.908555394999,1404.908555394999,1404.908555394999,1404.908555394999,1404.908555394999,1404.908555394999,switch,number,numSwt,d,0.6966840700006287,noRew,,,2,,,,,1405.625852105999,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,10,807,,,1411.5161052069998,,160,Y,triangle,0.0015491729991481407,,,,,1,0,,,,,,,,,,,,,1408.1050879639988,1408.1050879639988,1408.1050879639988,1408.1050879639988,1409.6136548800005,1409.6136548800005,1409.6136548800005,1409.6136548800005,1409.6136548800005,1409.6136548800005,1409.6136548800005,1409.6136548800005,repeat,number,numRpt,f,0.3842561800011026,noRew,,,2,,,,,1410.0140726949994,1411.5161052069998,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,0,807,,,1416.0204289089997,,132,S,triangle,0.0008473739999317331,,,,,1,0,,,,,,,,,,,,,1412.4931456129998,1412.4931456129998,1412.4931456129998,1412.4931456129998,1414.001679470999,1414.001679470999,1414.001679470999,1414.001679470999,1414.001679470999,1414.001679470999,1414.001679470999,1414.001679470999,repeat,number,numRpt,d,0.4906412820000696,noRew,,,2,,,,,1414.5190703419994,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,10,817,,,1420.842572742,,146,B,star,0.001582521001182613,,,,,1,0,,,,,,,,,,,,,1416.998636373999,1416.998636373999,1416.998636373999,1416.998636373999,1418.5067280549993,1418.5067280549993,1418.5067280549993,1418.5067280549993,1418.5067280549993,1418.5067280549993,1418.5067280549993,1418.5067280549993,switch,letter,lettSwt,j,0.8100947690018074,noRew,,,2,,,,,1419.3408107800005,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,10,827,,,1425.2975621349997,,174,H,triangle,0.0019015630005014827,,,,,1,0,,,,,,,,,,,,,1421.8200625609988,1421.8200625609988,1421.8200625609988,1421.8200625609988,1423.3286523280003,1423.3286523280003,1423.3286523280003,1423.3286523280003,1423.3286523280003,1423.3286523280003,1423.3286523280003,1423.3286523280003,switch,number,numSwt,f,0.4436328650008363,noRew,,,2,,,,,1423.7959313419997,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,1,828,,,1430.4365485870003,,181,F,star,0.001754580000124406,,,,,1,0,,,,,,,,,,,,,1426.2741759229993,1426.2741759229993,1426.2741759229993,1426.2741759229993,1427.7838080620004,1427.7838080620004,1427.7838080620004,1427.7838080620004,1427.7838080620004,1427.7838080620004,1427.7838080620004,1427.7838080620004,switch,letter,lettSwt,j,1.1345835590018396,noRew,,,2,,,,,1428.9351831780004,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,1,829,,,1436.5766979700002,,132,S,star,0.0009064909991138848,,,,,1,0,,,,,,,,,,,,,1431.414313408999,1431.414313408999,1431.414313408999,1431.414313408999,1432.9226781460002,1432.9226781460002,1432.9226781460002,1432.9226781460002,1432.9226781460002,1432.9226781460002,1432.9226781460002,1432.9226781460002,repeat,letter,lettRpt,k,2.1303877220016147,noRew,,,2,,,,,1435.0751045849993,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,0,829,,,1440.9814215810002,,146,W,triangle,0.0016570619991398416,,,,,0,0,,,,,,,,,,,,,1437.554100628,1437.554100628,1437.554100628,1437.554100628,1439.062693202999,1439.062693202999,1439.062693202999,1439.062693202999,1439.062693202999,1439.062693202999,1439.062693202999,1439.062693202999,repeat,letter,NA,j,0.38993570800084854,noRew,,,2,,,,,1439.4798463489988,,,,,,95034,2022-09-16_12h00.42.748,vts_reward_expectancy,2022.2.4,59.86118359128259,
