LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,training_fix.started,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,fix.started,fix.stopped,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpect,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4617359570002,139.94570223299888,139.94570223299888,139.94570223299888,139.94570223299888,139.94570223299888,139.94570223299888,139.94570223299888,139.94570223299888,139.94570223299888,l,1.7360447760038369,10,55,0,141.71402743399813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.2158093759972,143.6998219349989,143.6998219349989,143.6998219349989,143.6998219349989,143.6998219349989,143.6998219349989,143.6998219349989,143.6998219349989,143.6998219349989,a,2.6615730480043567,1,56,0,146.38606678299766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.8876307850005,148.37140425899997,148.37140425899997,148.37140425899997,148.37140425899997,148.37140425899997,148.37140425899997,148.37140425899997,148.37140425899997,148.37140425899997,l,1.3738385850010673,10,66,0,149.7732178639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,0,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.27482077400055,151.75858281399996,151.75858281399996,151.75858281399996,151.75858281399996,151.75858281399996,151.75858281399996,151.75858281399996,151.75858281399996,151.75858281399996,a,1.114978625006188,1,67,0,152.89343086000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.39486626699727,154.8787863039979,154.8787863039979,154.8787863039979,154.8787863039979,154.8787863039979,154.8787863039979,154.8787863039979,154.8787863039979,154.8787863039979,a,1.2189084340025147,10,77,0,156.13002621099804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,2,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.63230696999744,158.1156148509981,158.1156148509981,158.1156148509981,158.1156148509981,158.1156148509981,158.1156148509981,158.1156148509981,158.1156148509981,158.1156148509981,a,2.8942294430016773,1,78,0,161.03562695599976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,3,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.53721212299934,163.02118750599766,163.02118750599766,163.02118750599766,163.02118750599766,163.02118750599766,163.02118750599766,163.02118750599766,163.02118750599766,163.02118750599766,a,0.9078427700042084,10,88,0,163.95543730200006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.45746018499995,165.94094746200062,165.94094746200062,165.94094746200062,165.94094746200062,165.94094746200062,165.94094746200062,165.94094746200062,165.94094746200062,165.94094746200062,l,0.64494733200263,10,98,0,166.6085355239993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,5,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.11006197700044,168.59416955099732,168.59416955099732,168.59416955099732,168.59416955099732,168.59416955099732,168.59416955099732,168.59416955099732,168.59416955099732,168.59416955099732,a,1.8238223650041618,1,99,0,170.4458093329995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,6,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.94749209099973,172.4314639289987,172.4314639289987,172.4314639289987,172.4314639289987,172.4314639289987,172.4314639289987,172.4314639289987,172.4314639289987,172.4314639289987,l,0.9374314430024242,1,100,0,173.39921302899893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
