LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,training_fix.started,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,fix.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpect,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,24,0,24,0,,,,,,,,,,,,,,,,0,1050,,,,132,B,triangle,0.0014830389991402626,1805.2620375039987,,,,,,,,1,0,,,,,,,,,,,,1805.7576035289967,1805.7576035289967,1805.7576035289967,1805.7576035289967,1807.2410963820003,1807.2410963820003,1807.2410963820003,1807.2410963820003,1807.2575296690047,1807.2575296690047,1807.2575296690047,1807.2575296690047,repeat,number,numRpt,d,0.5199352909985464,noRew,,,3,,,,,high,1807.7946283380006,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,25,0,25,0,,,,,,,,,,,,,,,,10,1060,,,,167,D,circle,0.002415326001937501,1809.7974001200055,,,,,,,,1,0,,,,,,,,,,,,1810.2931206679932,1810.2931206679932,1810.2931206679932,1810.2931206679932,1811.777479693992,1811.777479693992,1811.777479693992,1811.777479693992,1811.793301799,1811.793301799,1811.793301799,1811.793301799,repeat,number,numRpt,f,0.5444495309930062,noRew,,,3,,,,,high,1812.348887635002,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,26,0,26,0,,,,,,,,,,,,,,,,0,1060,,,,181,Y,triangle,0.001992578007047996,1814.3527859379974,,,,,,,,1,0,,,,,,,,,,,,1814.8476509500033,1814.8476509500033,1814.8476509500033,1814.8476509500033,1816.3314579849975,1816.3314579849975,1816.3314579849975,1816.3314579849975,1816.347800367992,1816.347800367992,1816.347800367992,1816.347800367992,repeat,number,numRpt,f,0.5656228590087267,noRew,,,3,,,,,high,1816.9193841149972,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,27,0,27,0,,,,,,,,,,,,,,,,1,1061,,,,146,S,circle,0.0007708329940214753,1818.9207042490016,,,,,,,,1,0,,,,,,,,,,,,1819.4170303029969,1819.4170303029969,1819.4170303029969,1819.4170303029969,1820.9014213079936,1820.9014213079936,1820.9014213079936,1820.9014213079936,1820.917122932995,1820.917122932995,1820.917122932995,1820.917122932995,switch,letter,lettSwt,k,0.6440937900042627,noRew,,,3,,,,,high,1821.572068487003,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,28,0,28,0,,,,,,,,,,,,,,,,10,1071,,,,174,H,triangle,0.0011618279968388379,1823.5743509689928,,,,,,,,1,0,,,,,,,,,,,,1824.0704965540062,1824.0704965540062,1824.0704965540062,1824.0704965540062,1825.5547032839968,1825.5547032839968,1825.5547032839968,1825.5547032839968,1825.5704601409961,1825.5704601409961,1825.5704601409961,1825.5704601409961,switch,number,numSwt,f,0.3508181439974578,noRew,,,3,,,,,high,1825.9412005930062,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,29,0,29,0,,,,,,,,,,,,,,,,1,1072,,,,139,F,circle,0.014552683001966216,1827.9616243039927,,,,,,,,1,0,,,,,,,,,,,,1828.4579359269992,1828.4579359269992,1828.4579359269992,1828.4579359269992,1829.9240109759994,1829.9240109759994,1829.9240109759994,1829.9240109759994,1829.9582583089941,1829.9582583089941,1829.9582583089941,1829.9582583089941,repeat,number,numRpt,d,0.6534730300045339,noRew,,,3,,,,,high,1830.6117498200038,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,30,0,30,0,,,,,,,,,,,,,,,,10,1082,,,,125,U,triangle,0.016538159004994668,1832.6306972650054,,,,,,,,1,0,,,,,,,,,,,,1833.1106721219985,1833.1106721219985,1833.1106721219985,1833.1106721219985,1834.5951245939941,1834.5951245939941,1834.5951245939941,1834.5951245939941,1834.6110777489957,1834.6110777489957,1834.6110777489957,1834.6110777489957,repeat,number,numRpt,d,0.48660965700400993,noRew,,,3,,,,,high,1835.1155241810047,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,31,0,31,0,,,,,,,,,,,,,,,,1,1083,,,,160,W,circle,0.01569555299647618,1837.133764290993,,,,,,,,1,0,,,,,,,,,,,,1837.6138061009988,1837.6138061009988,1837.6138061009988,1837.6138061009988,1839.0986416209926,1839.0986416209926,1839.0986416209926,1839.0986416209926,1839.1146389799978,1839.1146389799978,1839.1146389799978,1839.1146389799978,repeat,number,numRpt,f,0.6223982230003458,noRew,,,3,,,,,high,1839.7524629260006,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,1,1084,,,,181,D,hexagon,0.0008004340052139014,1845.725188661003,,,,,,,,1,0,,,,,,,,,,,,1846.2200520969927,1846.2200520969927,1846.2200520969927,1846.2200520969927,1847.703609913995,1847.703609913995,1847.703609913995,1847.703609913995,1847.7201109849993,1847.7201109849993,1847.7201109849993,1847.7201109849993,repeat,number,numRpt,f,0.5144728230079636,noRew,,,4,,,space,0.74778384900128,low,1848.2419415579934,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,1,1085,,,,174,Y,star,0.0008815100009087473,1850.244794735001,,,,,,,,1,0,,,,,,,,,,,,1850.7400760220044,1850.7400760220044,1850.7400760220044,1850.7400760220044,1852.222889512006,1852.222889512006,1852.222889512006,1852.222889512006,1852.2405130980042,1852.2405130980042,1852.2405130980042,1852.2405130980042,switch,letter,lettSwt,k,0.498620012003812,noRew,,,4,,,,,low,1852.7438842429983,,,,,,,,,,,,,,,,42648,2022-09-21_10h16.19.302,vts_reward_expectancy_OFFLINE,2022.2.4,60.10703668737808,
