LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,button.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1177.8511277530015,,H,160,circle,0.0016051769998739474,,,,,1,0,,,3,,,,,,,,,1173.8981019120001,1173.8981019120001,1173.8981019120001,1173.8981019120001,1175.3983961230006,1175.3983961230006,1175.3983961230006,1175.3983961230006,1175.3983961230006,1175.3983961230006,1175.3983961230006,1175.3983961230006,,,,,switch,letter,lettSwt,d,vtsPrac,1176.3496380390025,,,0.927637037999375,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1182.4393353230007,,W,174,hexagon,0.001536325002234662,,,,,1,0,,,3,,,,,,,,,1178.8353244200007,1178.8353244200007,1178.8353244200007,1178.8353244200007,1180.3374354670013,1180.3374354670013,1180.3374354670013,1180.3374354670013,1180.3374354670013,1180.3374354670013,1180.3374354670013,1180.3374354670013,,,,,repeat,letter,lettRpt,f,vtsPrac,1180.938194739003,1182.4393353230007,,0.5800459789970773,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1187.211593117001,,Y,132,star,0.0016338929999619722,,,,,1,0,,,3,,,,,,,,,1183.4251482690015,1183.4251482690015,1183.4251482690015,1183.4251482690015,1184.9257352550012,1184.9257352550012,1184.9257352550012,1184.9257352550012,1184.9257352550012,1184.9257352550012,1184.9257352550012,1184.9257352550012,,,,,switch,number,numSwt,j,vtsPrac,1185.7099741230013,,,0.7515739769987704,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1192.117283409003,,S,167,hexagon,0.0020609310013242066,,,,,1,0,,,3,,,,,,,,,1188.1967471720018,1188.1967471720018,1188.1967471720018,1188.1967471720018,1189.6977035970012,1189.6977035970012,1189.6977035970012,1189.6977035970012,1189.6977035970012,1189.6977035970012,1189.6977035970012,1189.6977035970012,,,,,repeat,number,numRpt,k,vtsPrac,1190.615681673,,,0.891945894996752,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1196.8889692110024,,H,160,hexagon,0.0014511209992633667,,,,,1,0,,,3,,,,,,,,,1193.1021669060028,1193.1021669060028,1193.1021669060028,1193.1021669060028,1194.6031767290006,1194.6031767290006,1194.6031767290006,1194.6031767290006,1194.6031767290006,1194.6031767290006,1194.6031767290006,1194.6031767290006,,,,,switch,letter,lettSwt,d,vtsPrac,1195.3876774900018,,,0.7631341029955365,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1201.3772604100013,,W,174,circle,0.00179873100205441,,,,,1,0,,,3,,,,,,,,,1197.8742633969996,1197.8742633969996,1197.8742633969996,1197.8742633969996,1199.3750226930024,1199.3750226930024,1199.3750226930024,1199.3750226930024,1199.3750226930024,1199.3750226930024,1199.3750226930024,1199.3750226930024,,,,,repeat,letter,lettRpt,f,vtsPrac,1199.875703103,,,0.4793702949973522,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1207.100126919002,,Y,132,triangle,0.0016973839992715511,,,,,1,0,,,3,,,,,,,,,1202.3616161850005,1202.3616161850005,1202.3616161850005,1202.3616161850005,1203.8632858090023,1203.8632858090023,1203.8632858090023,1203.8632858090023,1203.8632858090023,1203.8632858090023,1203.8632858090023,1203.8632858090023,,,,,repeat,letter,lettRpt,f,vtsPrac,1205.5984679290013,,,1.7029030259982392,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1212.2058759579995,,S,167,circle,0.0014184079991537146,,,,,1,0,,,3,,,,,,,,,1208.0857122810012,1208.0857122810012,1208.0857122810012,1208.0857122810012,1209.5863567110027,1209.5863567110027,1209.5863567110027,1209.5863567110027,1209.5863567110027,1209.5863567110027,1209.5863567110027,1209.5863567110027,,,,,repeat,letter,lettRpt,f,vtsPrac,1210.7040398280005,,,1.0918567539956712,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1217.8287982729998,,H,160,circle,0.001640613998461049,,,,,1,0,,,3,,,,,,,,,1213.1897221960025,1213.1897221960025,1213.1897221960025,1213.1897221960025,1214.6920610790003,1214.6920610790003,1214.6920610790003,1214.6920610790003,1214.6920610790003,1214.6920610790003,1214.6920610790003,1214.6920610790003,,,,,switch,number,numSwt,k,vtsPrac,1216.3272435729996,,,1.6023127749976993,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,630,,,1222.7507150580022,,D,181,hexagon,0.0016124819994729478,,,,,1,0,,,3,,,,,,,,,1218.8150561319999,1218.8150561319999,1218.8150561319999,1218.8150561319999,1220.314784782,1220.314784782,1220.314784782,1220.314784782,1220.314784782,1220.314784782,1220.314784782,1220.314784782,,,,,switch,letter,lettSwt,d,vtsPrac,1221.2491113489996,,,0.9074156799979392,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
