"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution","rewExpect"
"1",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"circle","star",3,0,"l",2.25755299700086,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"2",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"hexagon","circle",3,1,"a",1.41959209200104,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"3",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"star","triangle",3,2,"a",1.78814532600063,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"4",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"circle","hexagon",3,3,"a",1.38402158500048,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"5",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"hexagon","triangle",3,4,"a",1.34733491200132,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"6",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"triangle","hexagon",3,5,"l",0.873956379000447,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"7",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"triangle","star",3,6,"l",0.906272452000849,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"8",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"star","hexagon",3,7,"a",0.640566012000818,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"9",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"triangle","circle",3,8,"a",1.47484612600056,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"10",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"circle","triangle",3,9,"l",2.05210002900094,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"11",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"star","circle",3,10,"a",0.685064841000894,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"12",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"hexagon","star",3,11,"l",0.533413314999962,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"13",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"circle","hexagon",3,12,"l",0.908271045001129,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"14",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"circle","triangle",3,13,"l",0.771363275000112,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"15",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"hexagon","circle",3,14,"a",0.69671165300042,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"16",29784,NA,NA,10,NA,"","","training","","",NA,"",NA,"star","circle",3,15,"l",0.688559284000803,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"17",29784,NA,NA,1,NA,"","","training","","",NA,"",NA,"star","triangle",3,16,"a",1.1778761000005,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
