"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution","rewExpect"
"1",96409,NA,NA,10,10,"","","training","","","",NA,NA,"triangle","hexagon",0,0,"a",1.00590762899992,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"2",96409,NA,NA,10,20,"","","training","","","",NA,NA,"star","hexagon",0,1,"l",0.815000099999907,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"3",96409,NA,NA,1,21,"","","training","","","",NA,NA,"circle","star",0,2,"a",0.65746749799996,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"4",96409,NA,NA,10,31,"","","training","","","",NA,NA,"hexagon","triangle",0,3,"l",1.35609602099998,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"5",96409,NA,NA,10,41,"","","training","","","",NA,NA,"triangle","star",0,4,"l",1.14481553099995,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"6",96409,NA,NA,10,51,"","","training","","","",NA,NA,"star","triangle",0,5,"a",0.758977011999832,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"7",96409,NA,NA,10,61,"","","training","","","",NA,NA,"hexagon","circle",0,6,"a",1.50093785499985,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"8",96409,NA,NA,1,62,"","","training","","","",NA,NA,"hexagon","star",0,7,"l",0.884319151,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"9",96409,NA,NA,10,72,"","","training","","","",NA,NA,"triangle","circle",0,8,"a",0.700534420999929,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"10",96409,NA,NA,1,73,"","","training","","","",NA,NA,"circle","triangle",0,9,"l",0.717175585999939,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"11",96409,NA,NA,1,74,"","","training","","","",NA,NA,"star","circle",0,10,"a",0.933108882999932,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"12",96409,NA,NA,10,84,"","","training","","","",NA,NA,"circle","hexagon",0,11,"l",1.45845474699991,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"13",96409,NA,NA,1,85,"","","training","","","",NA,NA,"star","triangle",0,12,"a",0.916155301000117,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
