"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewExpect","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution"
"1",27754,NA,NA,1,1,"","","training","","","",NA,"",NA,"circle","star",0,0,"l",1.84793417699984,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"2",27754,NA,NA,1,2,"","","training","","","",NA,"",NA,"star","circle",0,1,"l",3.58104087499669,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"3",27754,NA,NA,10,12,"","","training","","","",NA,"",NA,"hexagon","triangle",0,2,"a",4.53647349399762,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"4",27754,NA,NA,10,22,"","","training","","","",NA,"",NA,"hexagon","circle",0,3,"a",1.39897784399727,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"5",27754,NA,NA,10,32,"","","training","","","",NA,"",NA,"triangle","star",0,4,"a",1.93748184499782,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"6",27754,NA,NA,1,33,"","","training","","","",NA,"",NA,"hexagon","star",0,5,"a",1.23971955600064,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"7",27754,NA,NA,10,43,"","","training","","","",NA,"",NA,"star","triangle",0,6,"l",1.72554268599924,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"8",27754,NA,NA,10,53,"","","training","","","",NA,"",NA,"circle","triangle",0,7,"l",1.58028404699871,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"9",27754,NA,NA,10,63,"","","training","","","",NA,"",NA,"star","hexagon",0,8,"l",1.57652314899678,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"10",27754,NA,NA,1,64,"","","training","","","",NA,"",NA,"triangle","hexagon",0,9,"a",1.55105257399919,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"11",27754,NA,NA,1,65,"","","training","","","",NA,"",NA,"triangle","circle",0,10,"l",1.07687004599939,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"12",27754,NA,NA,1,66,"","","training","","","",NA,"",NA,"circle","hexagon",0,11,"l",1.48531314600041,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"13",27754,NA,NA,10,76,"","","training","","","",NA,"",NA,"circle","star",0,12,"a",1.02390890099923,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"14",27754,NA,NA,1,77,"","","training","","","",NA,"",NA,"star","circle",0,13,"l",1.73151952999979,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"15",27754,NA,NA,10,87,"","","training","","","",NA,"",NA,"circle","triangle",0,14,"a",2.83523330399839,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"16",27754,NA,NA,10,97,"","","training","","","",NA,"",NA,"hexagon","star",0,15,"a",1.52464728600171,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"17",27754,NA,NA,1,98,"","","training","","","",NA,"",NA,"hexagon","triangle",0,16,"l",2.3653794799975,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"18",27754,NA,NA,10,108,"","","training","","","",NA,"",NA,"star","triangle",0,17,"l",0.978811635999591,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"19",27754,NA,NA,1,109,"","","training","","","",NA,"",NA,"triangle","circle",0,18,"l",2.90329589400062,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
