"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewExpect","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution"
"1",42648,NA,NA,10,10,"","","training","","","",NA,"",NA,"circle","star",0,0,"l",2.45193554500293,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"2",42648,NA,NA,10,20,"","","training","","","",NA,"",NA,"star","circle",0,1,"a",0.712768877994677,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"3",42648,NA,NA,1,21,"","","training","","","",NA,"",NA,"star","hexagon",0,2,"l",1.64840273199661,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"4",42648,NA,NA,1,22,"","","training","","","",NA,"",NA,"hexagon","star",0,3,"l",1.60265943899867,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"5",42648,NA,NA,1,23,"","","training","","","",NA,"",NA,"circle","hexagon",0,4,"a",1.70558217699727,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"6",42648,NA,NA,10,33,"","","training","","","",NA,"",NA,"triangle","star",0,5,"l",0.936558937995869,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"7",42648,NA,NA,1,34,"","","training","","","",NA,"",NA,"hexagon","circle",0,6,"a",0.96841330800089,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"8",42648,NA,NA,10,44,"","","training","","","",NA,"",NA,"triangle","hexagon",0,7,"l",1.5688341770001,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"9",42648,NA,NA,10,54,"","","training","","","",NA,"",NA,"star","triangle",0,8,"a",1.77438080400316,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"10",42648,NA,NA,1,55,"","","training","","","",NA,"",NA,"circle","triangle",0,9,"a",1.18848653499299,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"11",42648,NA,NA,1,56,"","","training","","","",NA,"",NA,"hexagon","triangle",0,10,"a",1.42391811800189,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"12",42648,NA,NA,10,66,"","","training","","","",NA,"",NA,"triangle","circle",0,11,"a",1.16688155399606,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"13",42648,NA,NA,10,76,"","","training","","","",NA,"",NA,"triangle","star",0,12,"l",1.08443143199838,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"14",42648,NA,NA,10,86,"","","training","","","",NA,"",NA,"triangle","hexagon",0,13,"a",1.90370066100149,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
