"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution","rewExpect"
"1",73676,NA,NA,1,1,"","","training","","",NA,"",NA,"hexagon","circle",0,0,"l",1.36864739300654,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"2",73676,NA,NA,10,11,"","","training","","",NA,"",NA,"hexagon","triangle",0,1,"a",1.82797843000299,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"3",73676,NA,NA,10,21,"","","training","","",NA,"",NA,"circle","hexagon",0,2,"l",1.25299958500545,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"4",73676,NA,NA,1,22,"","","training","","",NA,"",NA,"star","triangle",0,3,"a",1.79927516200405,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"5",73676,NA,NA,10,32,"","","training","","",NA,"",NA,"hexagon","star",0,4,"a",1.3853638760047,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"6",73676,NA,NA,10,42,"","","training","","",NA,"",NA,"star","circle",0,5,"a",1.46084015400265,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"7",73676,NA,NA,1,43,"","","training","","",NA,"",NA,"star","hexagon",0,6,"a",0.750745605000702,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"8",73676,NA,NA,10,53,"","","training","","",NA,"",NA,"triangle","circle",0,7,"a",1.30080723000719,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"9",73676,NA,NA,10,63,"","","training","","",NA,"",NA,"circle","triangle",0,8,"l",0.835273995005991,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"10",73676,NA,NA,10,73,"","","training","","",NA,"",NA,"circle","star",0,9,"l",1.19127393500094,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"11",73676,NA,NA,10,83,"","","training","","",NA,"",NA,"triangle","hexagon",0,10,"l",1.03452310300054,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
