"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution","rewExpect"
"1",28713,NA,NA,1,1,"","","training","","","",NA,NA,"star","hexagon",0,0,"l",8.93529020299684,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"2",28713,NA,NA,10,11,"","","training","","","",NA,NA,"hexagon","triangle",0,1,"a",11.1540989779969,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"3",28713,NA,NA,10,21,"","","training","","","",NA,NA,"circle","hexagon",0,2,"l",4.47775195699796,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"4",28713,NA,NA,1,22,"","","training","","","",NA,NA,"triangle","star",0,3,"l",8.07533657899694,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"5",28713,NA,NA,10,32,"","","training","","","",NA,NA,"triangle","circle",0,4,"a",2.30789335899681,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"6",28713,NA,NA,1,33,"","","training","","","",NA,NA,"star","triangle",0,5,"l",11.9625243980008,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"7",28713,NA,NA,1,34,"","","training","","","",NA,NA,"circle","star",0,6,"l",3.05060881199825,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"8",28713,NA,NA,1,35,"","","training","","","",NA,NA,"triangle","hexagon",0,7,"l",2.16988951399981,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"9",28713,NA,NA,1,36,"","","training","","","",NA,NA,"star","circle",0,8,"a",2.41432380199694,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"10",28713,NA,NA,10,46,"","","training","","","",NA,NA,"circle","triangle",0,9,"a",2.33673822599667,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"11",28713,NA,NA,10,56,"","","training","","","",NA,NA,"hexagon","star",0,10,"a",2.48524650999752,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"12",28713,NA,NA,10,66,"","","training","","","",NA,NA,"hexagon","circle",0,11,"l",5.42898229199636,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"13",28713,NA,NA,10,76,"","","training","","","",NA,NA,"circle","triangle",0,12,"l",7.68899202899775,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"14",28713,NA,NA,1,77,"","","training","","","",NA,NA,"circle","star",0,13,"l",3.19406279899704,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"15",28713,NA,NA,1,78,"","","training","","","",NA,NA,"circle","hexagon",0,14,"l",3.54809997599659,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"16",28713,NA,NA,10,88,"","","training","","","",NA,NA,"triangle","hexagon",0,15,"l",2.75209417399674,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"17",28713,NA,NA,10,98,"","","training","","","",NA,NA,"triangle","circle",0,16,"a",10.1159861399974,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"18",28713,NA,NA,10,108,"","","training","","","",NA,NA,"triangle","star",0,17,"a",2.53689684599885,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"19",28713,NA,NA,1,109,"","","training","","","",NA,NA,"star","hexagon",0,18,"a",1.99641504999818,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"20",28713,NA,NA,1,110,"","","training","","","",NA,NA,"star","circle",0,19,"a",9.2959322209972,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"21",28713,NA,NA,10,120,"","","training","","","",NA,NA,"hexagon","circle",0,20,"l",8.23210519900022,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"22",28713,NA,NA,1,121,"","","training","","","",NA,NA,"hexagon","star",0,21,"a",1.2093775789981,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"23",28713,NA,NA,10,131,"","","training","","","",NA,NA,"hexagon","triangle",0,22,"a",2.99583884599633,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"24",28713,NA,NA,1,132,"","","training","","","",NA,NA,"star","triangle",0,23,"l",2.60574379999889,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"25",28713,NA,NA,1,133,"","","training","","","",NA,NA,"star","hexagon",0,24,"a",1.48734757999773,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"26",28713,NA,NA,1,134,"","","training","","","",NA,NA,"hexagon","circle",0,25,"l",2.87856888199531,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"27",28713,NA,NA,1,135,"","","training","","","",NA,NA,"star","circle",0,26,"a",1.04601663999711,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"28",28713,NA,NA,10,145,"","","training","","","",NA,NA,"hexagon","star",0,27,"a",2.51187884099636,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"29",28713,NA,NA,1,146,"","","training","","","",NA,NA,"hexagon","triangle",0,28,"a",3.31774721899637,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"30",28713,NA,NA,1,147,"","","training","","","",NA,NA,"triangle","star",0,29,"l",1.46621971499917,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"31",28713,NA,NA,1,148,"","","training","","","",NA,NA,"circle","triangle",0,30,"a",8.75461409599666,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"32",28713,NA,NA,10,158,"","","training","","","",NA,NA,"star","triangle",0,31,"l",7.84812290799891,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"33",28713,NA,NA,10,168,"","","training","","","",NA,NA,"circle","star",0,32,"a",4.09863620599936,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"34",28713,NA,NA,10,178,"","","training","","","",NA,NA,"triangle","circle",0,33,"l",3.52684874899933,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"35",28713,NA,NA,1,179,"","","training","","","",NA,NA,"triangle","hexagon",0,34,"l",3.4355460639963,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"36",28713,NA,NA,10,189,"","","training","","","",NA,NA,"circle","hexagon",0,35,"a",1.51574461099881,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"37",28713,NA,NA,1,190,"","","training","","","",NA,NA,"star","triangle",1,0,"a",13.7467420139983,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"38",28713,NA,NA,1,191,"","","training","","","",NA,NA,"hexagon","star",1,1,"l",1.38509501299632,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"39",28713,NA,NA,1,192,"","","training","","","",NA,NA,"star","hexagon",1,2,"l",1.40387116100101,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"40",28713,NA,NA,10,202,"","","training","","","",NA,NA,"triangle","circle",1,3,"l",0.918583904996922,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"41",28713,NA,NA,10,212,"","","training","","","",NA,NA,"hexagon","circle",1,4,"l",0.902348119998351,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"42",28713,NA,NA,10,222,"","","training","","","",NA,NA,"circle","triangle",1,5,"a",1.03591877299914,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"43",28713,NA,NA,1,223,"","","training","","","",NA,NA,"hexagon","triangle",1,6,"l",3.90373764899778,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"44",28713,NA,NA,10,233,"","","training","","","",NA,NA,"circle","star",1,7,"l",1.21103576699534,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"45",28713,NA,NA,10,243,"","","training","","","",NA,NA,"circle","hexagon",1,8,"a",1.69432821800001,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"46",28713,NA,NA,10,253,"","","training","","","",NA,NA,"triangle","hexagon",1,9,"a",1.20640140899559,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
