"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution","rewExpect"
"1",12531,NA,NA,10,10,"","","training","","","",NA,NA,"hexagon","triangle",0,0,"l",2.50951042100041,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"2",12531,NA,NA,10,20,"","","training","","","",NA,NA,"hexagon","star",0,1,"a",1.02543774300011,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"3",12531,NA,NA,1,21,"","","training","","","",NA,NA,"triangle","hexagon",0,2,"a",1.0283515760002,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"4",12531,NA,NA,10,31,"","","training","","","",NA,NA,"circle","hexagon",0,3,"l",0.639163790000111,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"5",12531,NA,NA,10,41,"","","training","","","",NA,NA,"hexagon","circle",0,4,"a",0.851225802000044,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"6",12531,NA,NA,1,42,"","","training","","","",NA,NA,"circle","star",0,5,"a",0.93290961799994,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"7",12531,NA,NA,10,52,"","","training","","","",NA,NA,"triangle","circle",0,6,"a",0.716008730999874,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"8",12531,NA,NA,1,53,"","","training","","","",NA,NA,"star","triangle",0,7,"l",0.609477709999737,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"9",12531,NA,NA,1,54,"","","training","","","",NA,NA,"triangle","star",0,8,"l",0.701505716000156,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"10",12531,NA,NA,10,64,"","","training","","","",NA,NA,"star","hexagon",0,9,"a",0.813428725999984,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"11",12531,NA,NA,1,65,"","","training","","","",NA,NA,"circle","triangle",0,10,"l",0.682154755000283,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"12",12531,NA,NA,1,66,"","","training","","","",NA,NA,"star","circle",0,11,"l",0.529417005000141,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"13",12531,NA,NA,10,76,"","","training","","","",NA,NA,"star","triangle",0,12,"a",0.713220438000008,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"14",12531,NA,NA,1,77,"","","training","","","",NA,NA,"hexagon","star",0,13,"a",1.08092254500025,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"15",12531,NA,NA,10,87,"","","training","","","",NA,NA,"hexagon","circle",0,14,"l",0.618305282000165,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
